Nome,"Wagnild e Young Quando eu faço planos, eu levo eles até o fim",Wagnild e Young Eu costumo lidar com os problemas de uma forma ou de outra,Wagnild e Young Eu sou capaz de depender de mim mais do que qualquer outra pessoa,Wagnild e Young Manter interesse nas coisas é importante para mim,Wagnild e Young Eu posso estar por minha conta se eu precisar,Wagnild e Young Eu sinto orgulho de ter realizado coisas em minha vida,Wagnild e Young Eu costumo aceitar as coisas sem muita preocupação,Wagnild e Young Eu sou amigo de mim mesmo,Wagnild e Young Eu sinto que posso lidar com várias coisas ao mesmo tempo,Wagnild e Young Eu sou determinado,Wagnild e Young Eu raramente penso sobre o objetivo das coisas,Wagnild e Young Eu faço as coisas um dia de cada vez,Wagnild e Young Eu posso enfrentar tempos difíceis porque já experimentei dificuldades antes,Wagnild e Young Eu sou disciplinado,Wagnild e Young Eu mantenho interesse nas coisas,Wagnild e Young Eu normalmente posso achar motivo para rir,Wagnild e Young Minha crença em mim mesmo me leva a atravessar tempos difíceis,"Wagnild e Young Em uma emergência, eu sou uma pessoa em quem as pessoas podem contar",Wagnild e Young Eu posso geralmente olhar uma situação em diversas maneiras,Wagnild e Young Às vezes eu me obrigo a fazer coisas querendo ou não,Wagnild e Young Minha vida tem sentido,Wagnild e Young Eu não insisto em coisas as quais eu não posso fazer nada sobre elas,"Wagnild e Young Quando eu estou numa situação difícil, eu normalmente acho uma saída",Wagnild e Young Eu tenho energia suficiente para fazer o que eu tenho que fazer,Wagnild e Young Tudo bem se há pessoas que não gostam de mim,Wagnild e Young Total,Wagnild e Young Resultado
49410ccae7,6.Muito característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,3. Pouco característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,116.0,Média
b12737ec6b,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,122.0,Média
f6e89fc1b8,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,4. Indiferente,1. Nada característico,3. Pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,4. Indiferente,53.0,Baixa
5e99d8047c,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,3. Pouco característico,7. Totalmente característico,3. Pouco característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,148.0,Alta
ead575e623,5. Característico,5. Característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,1. Nada característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,129.0,Alta
fa9341a730,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,5. Característico,1. Nada característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,142.0,Alta
dcbc9beaaf,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,4. Indiferente,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,153.0,Alta
43f20138ee,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,4. Indiferente,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,50.0,Baixa
a378907c5d,5. Característico,3. Pouco característico,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,7. Totalmente característico,3. Pouco característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,2. Muito pouco característico,133.0,Alta
bbbd4b41b0,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,123.0,Média
